,Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
0,1,Petroleum Engineering,Bachelors,98100,212100,60%
1,2,Operations Research & Industrial Engineering,Bachelors,101200,202600,21%
2,3,Electrical Engineering & Computer Science (EECS),Bachelors,128500,192300,45%
3,4,Interaction Design,Bachelors,77400,178800,55%
4,5,Building Science,Bachelors,71100,172400,46%
5,6,Applied Economics and Management,Bachelors,81200,169300,47%
6,7,Actuarial Mathematics,Bachelors,71200,167500,48%
7,8,Optical Science & Engineering,Bachelors,81500,166400,73%
8,9,Quantitative Economics,Bachelors,78400,165100,43%
9,10,Operations Research,Bachelors,94900,164900,56%
10,11,Systems Engineering,Bachelors,89700,163800,57%
11,12,Information & Computer Science,Bachelors,73200,162900,65%
12,13,Public Accounting,Bachelors,71500,162200,47%
13,14,Cognitive Science,Bachelors,80300,162100,43%
14,15,Aeronautics & Astronautics,Bachelors,89800,161600,60%
15,16,Aerospace Studies,Bachelors,64500,158400,-
16,17,Pharmacy,Bachelors,71500,158000,80%
17,18,Managerial Economics,Bachelors,78200,157800,38%
18,19,Foreign Affairs,Bachelors,65200,157700,32%
19,20,Political Economy,Bachelors,75800,156700,30%
20,21,Chemical Engineering,Bachelors,87700,156100,54%
21,21,Marine Transportation Management,Bachelors,78500,156100,-
22,23,Computer Science (CS) & Engineering,Bachelors,93500,154100,44%
23,24,Corporate Accounting & Finance,Bachelors,79100,154000,-
24,25,Computer Engineering (CE),Bachelors,92000,153800,46%
25,26,Electrical Power Engineering,Bachelors,87200,152700,71%
26,27,Marine Engineering,Bachelors,89400,151800,54%
27,28,Electrical & Computer Engineering (ECE),Bachelors,91100,151300,48%
28,29,Econometrics,Bachelors,74200,150900,35%
29,30,Actuarial Science,Bachelors,78500,150000,41%
30,30,Astronomy,Bachelors,77000,150000,52%
31,32,Mechatronics,Bachelors,83300,148600,46%
32,33,Computational & Applied Mathematics,Bachelors,88200,148200,46%
33,33,Construction Engineering Management,Bachelors,81700,148200,52%
34,35,Aeronautical Engineering,Bachelors,86500,147200,64%
